,logFC,logCPM,F,PValue,FDR
ENSG00000172543,-0.761415071581021,4.504374730246337,38.57215026772627,4.137555541173676e-08,1.085407524080249e-07
ENSG00000153234,-0.40507449407291285,7.968364671480758,38.34149830242169,4.45675055808748e-08,1.1659823081699136e-07
ENSG00000096060,-0.23786489322205562,10.154201526349286,37.91669764219654,5.112809180864296e-08,1.3340159803441076e-07
ENSG00000110203,-0.8641466101640015,5.199046643568209,37.826885845938875,5.263836558779603e-08,1.3697295131447999e-07
ENSG00000187837,0.5228349649658556,5.109639144582286,37.69766676333465,5.489251413291507e-08,1.4245563989453562e-07
ENSG00000171132,-0.3047989514606102,8.813818697429515,37.596021352741964,5.6735514103304525e-08,1.468448600320823e-07
ENSG00000018280,-0.27735673041749037,10.05207664625234,37.49969100740958,5.8541094761178566e-08,1.511140792768556e-07
ENSG00000205364,-1.025230252405776,4.530843304696108,37.48556532443889,5.881080349937802e-08,1.5140653666861148e-07
ENSG00000117318,-0.5206463838027938,6.265660677041974,37.320169225457825,6.206589205891587e-08,1.5936282098947097e-07
ENSG00000166741,-1.0068914643513045,3.9602571728944023,37.13992581049702,6.900594150385076e-08,1.767136279781152e-07
ENSG00000112232,-0.6795670659399583,3.2842330909403623,36.41355020668959,8.352474083397442e-08,2.1332968107463652e-07
ENSG00000230108,-0.8787067724560348,4.875203814499822,36.33168035476185,8.580665953246344e-08,2.1807843816004121e-07
ENSG00000171791,0.4445807452832352,6.996327009249884,36.3306921840253,8.583459187910713e-08,2.1807843816004121e-07
ENSG00000138378,-0.5532590261863769,5.578997686225138,36.27355514724756,8.746572936015715e-08,2.2164090581317306e-07
ENSG00000116741,-0.38908295231154005,8.125779725828362,35.42268725291284,1.1592326993501928e-07,2.9298622792976155e-07
ENSG00000137154,0.1748399506928837,11.494019253288663,35.37680191451508,1.1770613522376671e-07,2.9671754920991195e-07
ENSG00000109943,0.3817352185387909,5.145424249264488,35.056892833544836,1.3094905297646386e-07,3.292433331979663e-07
ENSG00000140264,0.17295938221403986,12.11490679721991,34.58427599220931,1.5339048294851552e-07,3.8466836138384203e-07
ENSG00000062716,-0.2182230025562733,9.05239753352872,34.33828730313342,1.66606331587649e-07,4.167310826275045e-07
ENSG00000165457,-0.8613410636179004,6.319959390000284,34.10503031001482,1.8022490219771515e-07,4.496332611530625e-07
ENSG00000198755,0.18737533745994076,10.644017452965215,33.99007659920033,1.8735404693603266e-07,4.662177826068885e-07
ENSG00000083845,0.19165590899425175,10.716020094795965,33.86611233498544,1.9536892839231415e-07,4.849156991891285e-07
ENSG00000088986,0.20147227812871418,9.533020751307502,33.72151478228086,2.0516669329781752e-07,5.079318647373078e-07
ENSG00000185338,-0.4809709915897425,5.232067238411179,33.58702953035335,2.1473458322078384e-07,5.302629504023437e-07
ENSG00000125868,0.2090998911522853,8.335599251896715,33.55515332737683,2.1706917504203456e-07,5.346640240221105e-07
ENSG00000043462,-0.30514951218169506,7.699211083933773,33.3536935051776,2.3244272793608078e-07,5.710775650815385e-07
ENSG00000102575,0.27467097477542346,10.675122352203825,33.14747648680216,2.4934648251297966e-07,6.110566963862388e-07
ENSG00000127824,0.6444695861996839,3.4614680171574292,33.014325854790066,2.609305334829323e-07,6.378301929582791e-07
ENSG00000140988,0.18627523816588287,12.065482466847405,32.932103722289106,2.6835991334767283e-07,6.543385292709e-07
ENSG00000112306,0.17168103518717015,12.241900160341658,32.86602893914661,2.744883165853531e-07,6.675997247603562e-07
ENSG00000274113,-0.5469058920503077,4.723684505129763,32.81700561893655,2.7912842192765484e-07,6.771837404159646e-07
ENSG00000175130,-0.7384695189265343,4.207621996935157,32.61549349516359,2.9906860914369207e-07,7.237460341277348e-07
ENSG00000135678,0.22469431333118728,9.11941742079908,32.601462592051725,3.005106285201969e-07,7.254221656048644e-07
ENSG00000161011,-0.3206706164540135,8.659944841726787,32.16609269249636,3.49012883144695e-07,8.404091315524e-07
ENSG00000162511,0.14615470076105572,10.918208399260665,31.75900370207885,4.016857313881602e-07,9.648431463616355e-07
ENSG00000161835,-0.4775831319185519,5.33591034169411,31.550835322349474,4.3172719368117913e-07,1.0344354541667855e-06
ENSG00000019169,-0.3169279487625925,10.752523490938904,31.44690736150152,4.475841490172965e-07,1.0697813734536865e-06
ENSG00000104904,0.1629823363859308,11.60342441102561,30.981892937827958,5.262492717719747e-07,1.2547026972297327e-06
ENSG00000165507,0.8379336617165262,3.282754674070943,30.926368080708194,5.365525652903342e-07,1.276125020149984e-06
ENSG00000119508,-0.43601404662689996,6.920741169742281,30.491581224597635,6.247900126277265e-07,1.4823449319206844e-06
ENSG00000148926,-0.43179340078893536,6.87545533006428,30.401104661860483,6.449627717915689e-07,1.5264644574431264e-06
ENSG00000155657,-0.7665877525926986,3.436062035677631,30.475673025513206,6.508370219802995e-07,1.5352340266919034e-06
ENSG00000187240,-0.45226715652259897,4.111457331990792,30.37092576107181,6.518400671181533e-07,1.5352340266919034e-06
ENSG00000100316,0.16733982714323925,11.142005716348098,30.302470326329058,6.677220553255765e-07,1.5688226930950438e-06
ENSG00000111348,-0.170283212873664,9.38461813004035,30.228689016877293,6.852876410734699e-07,1.6061947616443557e-06
ENSG00000181019,0.434534390910723,4.042233387332382,30.095916012485258,7.181094393627005e-07,1.679057819572691e-06
